,Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
0,,,,P.S. 015 ROBERTO CLEMENTE,310100010015,01M015,1,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,Yes,0.919,31141.72,0.94,0.18,0.89,Meeting Target,0.94,Meeting Target,0.86,Exceeding Target,0.91,Exceeding Target,0.85,Meeting Target,0.94,Exceeding Target,Approaching Target,2.14,2.17
8,,,,P.S. 140 NATHAN STRAUS,310100010140,01M140,1,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.849,34889.24,0.93,0.27,0.94,Meeting Target,0.91,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.93,Meeting Target,Meeting Target,2.21,2.27
12,,,,ORCHARD COLLEGIATE ACADEMY,310100011292,01M292,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08,09,10,11,12",6,12,Yes,0.832,,0.84,0.58,0.72,Not Meeting Target,0.77,Approaching Target,0.77,Approaching Target,0.72,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,Approaching Target,1.96,1.83
71,,,,LIFE SCIENCES SECONDARY SCHOOL,310200011655,02M655,2,40.783283,-73.945937,"320 E 96TH ST NEW YORK, NY 10128",NEW YORK,10128,"06,07,08,09,10,11,12",6,12,No,0.765,,0.9,0.3,0.9,Meeting Target,0.9,Approaching Target,0.77,Approaching Target,0.67,Not Meeting Target,0.65,Not Meeting Target,0.81,Approaching Target,Approaching Target,2.24,1.95
80,,,,"P.S. 145, THE BLOOMINGDALE SCHOOL",310300010145,03M145,3,40.79909,-73.965359,"150 W 105TH ST NEW YORK, NY 10025",NEW YORK,10025,"PK,0K,01,02,03,04,05",PK,5,No,0.843,44727.39,0.91,0.35,0.91,Approaching Target,0.85,Meeting Target,0.89,Approaching Target,0.76,Approaching Target,0.82,Approaching Target,0.84,Approaching Target,Approaching Target,2.12,2.16
81,,,,P.S. 149 SOJOURNER TRUTH,310300010149,03M149,3,40.802666,-73.948256,"41 W 117TH ST NEW YORK, NY 10026",NEW YORK,10026,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.883,37110.83,0.91,0.37,0.83,Approaching Target,0.7,Not Meeting Target,0.77,Approaching Target,0.6,Not Meeting Target,0.81,Approaching Target,0.82,Approaching Target,Approaching Target,2.1,2.03
86,,,,P.S. 191 AMSTERDAM,310300010191,03M191,3,40.771743,-73.987572,"210 W 61ST ST NEW YORK, NY 10023",NEW YORK,10023,"PK,0K,01,02,03,04,05",PK,5,No,0.758,63947.38,0.91,0.33,0.82,Approaching Target,0.79,Approaching Target,0.82,Approaching Target,0.7,Approaching Target,0.88,Meeting Target,0.88,Meeting Target,Approaching Target,2.23,2.1
89,,,,STEM INSTITUTE OF MANHATTAN,310300010241,03M241,3,40.801651,-73.955295,"240 W 113TH ST NEW YORK, NY 10026",NEW YORK,10026,"0K,01,02,03,04,05",0K,5,No,0.849,44126.71,0.91,0.33,0.0,,0.94,,0.91,,0.95,,0.88,,0.94,,Not Meeting Target,1.97,1.93
100,,,,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,310300011415,03M415,3,40.802284,-73.95408,"215 W 114TH ST NEW YORK, NY 10026",NEW YORK,10026,"06,07,08,09,10,11,12",6,12,Yes,0.791,,0.93,0.23,0.86,Approaching Target,0.77,Approaching Target,0.82,Meeting Target,0.71,Approaching Target,0.77,Meeting Target,0.82,Approaching Target,Approaching Target,2.04,1.99
109,,,,P.S. 38 ROBERTO CLEMENTE,310400010038,04M038,4,40.788684,-73.944766,"232 E 103RD ST NEW YORK, NY 10029",NEW YORK,10029,"PK,0K,01,02,03,04,05",PK,5,No,0.915,34567.95,0.88,0.5,0.87,Approaching Target,0.77,Not Meeting Target,0.76,Approaching Target,0.68,Approaching Target,0.82,Approaching Target,0.82,Approaching Target,Meeting Target,2.14,2.12
